Date,Text,Sentiment Scores,Sentiment Label
30/12/2022,"CLEAN ENERGY RETORT™/

@Amazon
 s' New #LastMile, #ElectricDelivery,
#FlyingEV #CargoDrones, #DeliveryDrone's #UAV Are Unmanned #eVTOL's
=
- #ZeroEmissions!
- #NearMaintenanceFREE!
- 97%+ <Cost/Mi-Km!
=
#EpicROI!
Vs
- #OldTech #FossilFuels #FossilFuelsPenalty W/#FossilFuelsShame!","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.8143}",positive
29/12/2022,"With all that’s been communicated by 
@EHANG
 and the CAAC, it should be clear: the type certification progress of pilotless/automated #eVTOL $EH #EH216 is in the very final stages.

Of course extensive crashworthiness testing has been done.

Most Westerners just refuse to believe!","{'neg': 0.051, 'neu': 0.831, 'pos': 0.118, 'compound': 0.4987}",positive
29/12/2022,"All aircraft companies should conduct crashworthiness testing. This has been a major thrust by #VFS for many years. 

@NASAaero
 testing provides non-proprietary testing to improve their tools and for the benefit of the whole #eVTOL industry.","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.7096}",positive
28/12/2022,"Making history - #RYSE #RECON #eVTOL to take flight at CES. RYSE Aero via 
@50skyshades","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
28/12/2022,".
@XPENG_AEROHT
 Please address and fix the noise problem. UR #eVTOL sounds like #Helicopters  It will not sell in  or  

Pls. get #customerfeedback ULL find this #version  will not fly

.
@AmazingChevVolt
 .
@SecretaryPete
 .
@SecGranholm
 .
@FutureFlightAIN
 .
@ElectricVTOL
 .
@FT
 .
@WSJ","{'neg': 0.066, 'neu': 0.784, 'pos': 0.15, 'compound': 0.34}",positive
28/12/2022,"In order to facilitate the effective and secure operation of vertical take-off and landing (#VTOL) aircraft, this regulation addresses the design and operating requirements of vertiports. #GCAA #UAE","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6705}",positive
27/12/2022,"CLEAN ENERGY RETORT™/
MQ/
'
@United
 & 
@ArcherAviation
~
To Launch~Shuttle Service From~#VertiPort Near~ Southern Tip~Manhattan To United’s Hub At Newark~
10 Minutes In Archer’s 4 Passenger #ZeroEmissions, #NearMaintenanceFREE;
#eVTOL, #PassengerDrone #FlyingEV
=
#EpicROI!


@Forbes","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.762}",positive
26/12/2022,#uber price around 100 in major cities. The #Joby  #JAS4 can get you to you destination for around the same price and save you time. 1 hour for #uber is 10 minutes with #JobyJAS4-1 Just bought by ##Apple changes the game for #evTOL,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.4939}",positive
25/12/2022,#evTOL and #joby. #vertical aerospace #airtaxi will fix this.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
23/12/2022,"ElectricVTOL: RT 
@AlcockNews
: The Qingdao West Coast New Area in China's Shandong province has agreed a $10 million investment in #eVTOL aircraft developer 
@ehang
, with potentially another $10 million to come. Plans announced today also call for a partnership to use the auto…","{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.2732}",positive
