,twitter_link,text,date
0,https://twitter.com/drone_jp/status/1752217961371521443#m,エアロセンスら3社の提案、中小企業イノベーション創出推進事業に採択。第一種型式認証に対応した小型VTOL機の開発を目指す #エアロセンス #KDDIスマートドローン #VTOL #ドローン #ドローン点検 #首都高速道路 #DRONEjp https://www.drone.jp/news/2024013015294280726.html,"Jan 30, 2024 · 6:31 AM UTC"
1,https://twitter.com/MMCUAV/status/1752227229793472557#m,"🤖MMC Etlas mobile || · Intelligent remote control · 20km image transmission · Dual control for aircraft & payload · 13 control channels · Removable battery, internal GPS, built-in 4G module... #MMCUAV #drone #uav #control #transmission #vtol #industry https://youtu.be/RyGCIL_4ezg?si=3mI6rHrVRjHubMJe","Jan 30, 2024 · 7:08 AM UTC"
2,https://twitter.com/MartinY38361464/status/1752224406641037751#m,BS-3000 6 Hours #Endurance #VTOL #Drone!!! See more at-https://www.hseasontech.com/bs-3000-vtol-fixed-wing-drone.html,"Jan 30, 2024 · 6:57 AM UTC"
3,https://twitter.com/drone_jp/status/1752197174988075275#m,Advances Aircraft Campanyのハイブリッド先進マルチローター、VTOL機の飛行時間でマルチローターの使いやすさを実現 #AdvancedAircraft #VTOL #検査ドローン #DRONE #DRONEjp https://www.drone.jp/news/2024013014060980708.html,"Jan 30, 2024 · 5:08 AM UTC"
4,https://twitter.com/DefenseMirror/status/1752174168811159986#m,Aerovel's Flexrotor Unveils Heavy Fuel Engine Integration: https://defensemirror.com/news/35967/Aerovel_s_Flexrotor_Unveils_Heavy_Fuel_Engine_Integration .@AerovelCorp @AirbusHeli #Flexrotor #VTOL #unmanned #drone #HeavyFuelEngine #Airbus,"Jan 30, 2024 · 3:37 AM UTC"
5,https://twitter.com/ZappyZappy7/status/1739623364518719969#m,折り畳み翼を持つ電動垂直離着陸機 https://youtu.be/ZjffoRUDWtQ #drone #aircraft #eVTOL #VTOL #FoldableWings #PteroDynamics #X_P4 #Transwing #垂直離着陸機,"Dec 26, 2023 · 12:25 PM UTC"
6,https://twitter.com/UnmannedSystem/status/1751892939377082479#m,"EDGE signed a contract to provide 200 HT-100 & HT-750 unmanned helicopters to the UAE Ministry of Defence, reportedly as part of the largest ever order for these VTOL systems Read more: https://hubs.la/Q02hYRJt0 @_edgegroup #unmannedsystems #uav #vtol #defense #isr #helicopter","Jan 29, 2024 · 9:00 AM UTC"
7,https://twitter.com/ArenaSolutions/status/1752012499707154698#m,We're excited to attend the Transformative Vertical Flight meeting next week! https://bit.ly/3SqitaA Join us at booth 304 and learn the benefits of using cloud-native PLM for the production of vertical takeoff and landing (VTOL) aircraft and technology. #aircraft #VTOL #PLM,"Jan 29, 2024 · 4:55 PM UTC"
8,https://twitter.com/AcGcKarbon/status/1752007408069554247#m,"Let them provide the energy provided by gasoline and motors with batteries. Then we talk about whether it can be. In the table below, helicopter motors have hourly weights including energy and fuel Wasted time, labor, money and hope #VTOL ✔ #eVTOL ❌ 🚮 ⏳","Jan 29, 2024 · 4:34 PM UTC"
9,https://twitter.com/Grzegorz_Rossa/status/1751952565598638516#m,Ta debata musi uwzględnić #VTOL.,"Jan 29, 2024 · 12:56 PM UTC"
