Text,Sentiment Scores,Sentiment Label
"#IndustryNews • #eVTOL 

Over the next 20 years—beginning in 2024 —electric aircraft consisting of #airtaxis + #flyingcars are projected to convert our skies into low-altitude highways! Would you fly in one? https://bit.ly/3TJTzno

Via 
@RollingStone","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Standard Airworthiness Certificate Granted to Passenger-Carrying UAV

Find out more >> https://hubs.la/Q02dW9260

#aam #advancedairmobility #airtaxi #evtol #technology #future","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",positive
"VIDEO: earlier today in Yunnan Province — 
@EHANG
 $EH #eVTOL","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Overair's new butterfly-shaped eVTOL aims to be the quietest and safest in the sky
https://robbreport.co.uk/motors/aviation/this-new-butterfly-shaped-evtol-aims-to-be-the-quietest-and-safest-in-the-sky-1234709226/…
#eVTOL #overair #butterfly #aviation #planes","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}",positive
"Flying electric cars will soon start to replace fossil fuel-powered helicopters. It will begin with short distances, extending the range  step by step. 

#FlyingCar #eVTOL #XPeng #helicopter #Cleantech #aviation #ElectricMobility","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Overair has announced the completion of the first full-size prototype of its Butterfly aircraft. The aircraft will complete a series of ground tests at the company’s Santa Ana headquarters.

Click here to read more  https://ow.ly/6GkR50QmAgm

#evtol #aircraft #sustainableaviation","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Looking back on 2023: A year when #EHang took flight, leaving an indelible mark on the world. 

Watch the recap of our groundbreaking achievements. Join us as we celebrate the milestones and embrace an exciting future ahead! 

#EH216 #UAM #AAM #eVTOL","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.8932}",positive
"Chinese manufacturer #EHang has made a historic progress!
EHang's self-flying air taxi successfully completed its inaugural trips with passengers aboard in China,which also marked the first passenger-carrying #eVTOL trips in the world.
 #technology  #airtaxi #aviation","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.75}",positive
"Five Predictions For The Security World in 2024 
#securiosity #Security #eVTOL #IAM #Identity #CCTV #AI #AVSEC #aviation 
http://tinyurl.com/22cf6tpw","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",positive
"NEWS VIDEO: CCTV Business Channel reports on 
@EHANG
 $EH pilotless #eVTOL passenger flights in Hefei","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Lets watch a tutorial how to use the weapons for some planes in #Vtol #VR, IN VR while we play in VR & stream!
I downloaded a cool multiplayer map from steam that might help us with combatants.
 
http://Twitch.tv/MrMustachieo81 

I tried setting up robot ttc garry too
#flightsim #twitch","{'neg': 0.057, 'neu': 0.791, 'pos': 0.152, 'compound': 0.5848}",positive
"Istanbul-based startup #BBATeknoloji makes multipurpose #tiltrotor #drones like the ""Dolph"" that combine #VTOL with long flight endurance & increased payload. These drones are especially suitable for city-wide fast delivery services.  #BBAVTOL #EVTOL https://bbavtol.com","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.5574}",positive
"2023 has been a huge year for our #eVTOL company, from our transition from Opener to Pivotal to the announcement of #Helix. We took #BlackFly to airshows across the country and completed multiple successful deliveries to early access customers. Take a look back at #2023 with us.","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.7269}",positive
"We make the fast faster. The lightweight even lighter. The agile even more agile. Let our aerospace solutions take you to new heights.

Learn more: https://ow.ly/QgK850Qkhb3

#aerospace #aircraft #aviation #drone #evtol #vtol","{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.1779}",positive
"Evolution of EH216 — 
@EHANG
 pilotless passenger #eVTOL aircraft:","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"#NEWS | EHang has successfully completed the first passenger carrying demonstrations of its pilotless EH216-S eVTOL aircraft in Guangzhou and Hefei, China.

Read more at AviationSource!

https://aviationsourcenews.com/general-aviation/ehang-completes-passenger-carrying-demo-of-eh216-s-evtol-aircraft/…

#EHang #eVTOL #UAM #airtaxi #AvGeek","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5411}",positive
"The sky's the limit!  
@ehang
 takes urban air mobility to new heights with its eVTOL flights, setting the stage for the transport of tomorrow. Investors, keep your eyes on this high-flying sector! #EHang #eVTOL #UrbanAirMobility

Read More:","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"#SziasztokMaVanaSzületésnapom #Vtől
#AjándékElőreElkészítve #Meglepetés

~Moonlight","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"DARPA collaborates with top aerospace firms to design a revolutionary high-speed VTOL aircraft, surpassing the V-22 Osprey's capabilities by 2027. #darpa #sprint #vtol #aerospace   #verticaltakeoff #aviationtechnology

Source- http://tinyurl.com/52y35w5e","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.2023}",positive
" Read our FOURTH most read article of 2023!

FlyDragon Drone Tech released the FDG50F, a high-performance #VTOL fixed-wing UAS, with a payload capacity of 10kgs and a flight endurance of up to 7 hours >> https://hubs.la/Q02dy-VJ0

#unmannedsystems #fixedwing","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"EHang Holdings Limited’s EH216-S passenger-carrying unmanned aerial vehicle system has obtained a standard Airworthiness Certificate from the Civil Aviation Administration of China

Read more: https://hubs.la/Q02dW4gV0

#aam #advancedairmobility #airtaxi #evtol #technology #future","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Recent reports on the development of Electric Vertical Takeoff and Landing (eVTOL) technology represent significant advances in this field. What is its potential and how can it be exploited? Our expert Haihong Xu discusses this in his article here: https://bit.ly/3vpU1wH
#eVTOL","{'neg': 0.068, 'neu': 0.89, 'pos': 0.041, 'compound': -0.296}",negative
"#SziasztokMaVanaSzületésnapom #Vtől
#AjándékElőreElkészítve #Meglepetés

~Moonlight","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Aurora Flight Sciences, Bell Textron, Northrop Grumman, and Piasecki Aircraft Corp. to develop experimental Vertical Take-Off and Landing aircraft for Defense Advanced Research Projects Agency.

Read more: https://executivebiz.com/2023/12/darpa-taps-4-companies-to-design-build-high-speed-vtol-aircraft/…
#VTOL #GovCon","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",positive
"The Alraigo Incident took place in June 1983. Running low on fuel, the elected to carry-out a forced vertical landing on the Spanish container ship Alraigo.  

#HomeOfAircraft #AvPay #aviationlovers #aircraftlovers #aviationgeek #harrier #royalnavy #vtol #flynavy #jetfighter","{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.6249}",negative
"I believe the Italian and Spanish Navy are still operating the Harrier, however I’m not 100% sure. Let me know in the comments!  #HomeOfAircraft #AvPay #aviationhistory  #aviationdaily #aircraft  #aviationlovers #aircraftlovers #aviationgeek #harrier #royalnavy #vtol #flynavy","{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.308}",negative
"When you notice another #eVTOL has made it to market unusually quick, the company doesn't have enough developers or testers to have written flight controller code from the ground up...

You then notice the software has orbit (why would you even code that as one of your first…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Busy week for 
@ehang
 as it takes Chinese passengers in Guangzhou and Hefei on sightseeing flights in its pilotless EH216 #eVTOL aircraft.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"T-DRONES' new VTOL VA23 is coming soon, stay tuned!

#Newproduct #VTOL #UAV #VA23 #drone #RPAS","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
"Awesome  
$EH #Ehang #EH216 
#eVTOL #Drone #AAV","{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.6249}",positive
"We always strive to bring joy and happiness to our passengers' travel experience. 

@XHNews
 #EHang #EH216 #UAM #AAM #eVTOL","{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.8126}",positive
"Up to 20 million reward for Electric Vertical Take-off and Landing companies in #Shenzhen!

Shenzhen is determined to make 'air taxi' a reality. Eligible companies could receive funding if they set up business in the city, as local authorities announced on the 27th. #eVTOL","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.75}",positive
"EHang’s Certified EH216-S Pilotless Passenger-Carrying Aerial Vehicles Debut Commercial Flight Demonstrations in Guangzhou and Hefei   $EH, #EHang, #UAM, #UrbanAirMobility, #UAV, #UnmannedAerialVehicle, #eVTOL","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
