Date,Text,Sentiment Scores,Sentiment Label
20/12/2021,"ElectricVTOL: RT 
@EdGarsten
: Archer Electric VTOL Air Taxi Demo Passes Major Test https://forbes.com/sites/edgarsten/2021/12/20/archer-air-taxi-demo-passes-major-test/… via 
@forbes
 
@ArcherAviation
 #eVTOL #Mobility","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
20/12/2021,"Archer Electric VTOL Air Taxi Demo Passes Major Test https://forbes.com/sites/edgarsten/2021/12/20/archer-air-taxi-demo-passes-major-test/… via 
@forbes
 
@ArcherAviation
 #eVTOL #Mobility","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
14/12/2021,"The air taxi is going to open up urban air mobility to a whole range of passengers and transform how we travel.

@VerticalAero
 #airtaxi #aircraft #eVTOL #airtravel https://inceptivemind.com/vertical-aerospace-reveals-new-full-scale-vx4-model/22473/…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
14/12/2021,"The air taxi is going to open up urban air mobility to a whole range of passengers and transform how we travel.

@VerticalAero
 #airtaxi #aircraft #eVTOL #airtravel https://inceptivemind.com/vertical-aerospace-reveals-new-full-scale-vx4-model/22473/…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
05/12/2021,"With this flying taxi, you will fly from #Rome Airport to the city center in 15 minutes instead of 45, with #ZeroEmissions! 
by 
@volocopter
 

#Mobility #eVTOL #EV 

@JeroenBartelse
 
@PawlowskiMario
 
@CurieuxExplorer
 
@WSWMUC
 
@MargaretSiegien
 
@labordeolivier
 
@RagusoSergio
 
@mvollmer1","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
01/12/2021,"NEOM and Volocopter establish joint venture to create the world's first bespoke public eVTOL mobility system - http://automobilsport.com https://automobilsport.com/cars-tuning--37/cars-tuning--37,231915,NEOM-and-Volocopter-establish-joint-venture-to-create-the-worlds-first-bespoke-public-eVTOL-mobility-system,news.htm#.Yafgi7J4k4E.twitter… photo Neom #neom #volocopter #jv #creation #world #first #evtol #mobility #system #airtaxi #air #taxi #project #logistics","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.2732}",positive
05/11/2021,"With this flying taxi, you will fly from #Rome Airport to the city center in 15 minutes, instead of 45, with #ZeroEmissions! 
by 
@volocopter
 

#Mobility #eVTOL #EV

@chboursin
 
@NevilleGaunt
 
@baski_LA
 
@JoannMoretti
 
@fogle_shane
 
@CurieuxExplorer
 
@anand_narang
 
@WSWMUC
 
@JeroenBartelse","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
27/10/2021,".
@EveAirMobility
 is launching a month-long urban air mobility simulation in Rio de Janeiro, Brazil, with a Bell 505 #helicopter playing the role of its future #eVTOL air taxi: https://evtol.com/news/eve-launches-urban-air-mobility-simulation-rio-de-janeiro/…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.2023}",positive
25/10/2021,"Shenzhen Expressway and 
@ehang
 are partnering on near-term #drone applications such as road inspection — but also envisioning a future in which landing platforms along highways could be used as transfer points for #eVTOL air taxi passengers. https://evtol.com/news/ehang-partners-shenzhen-expressway-drone-5g-projects/…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
23/10/2021,"RT @ Earth_Changers_ #InTheNews re #sustainable #travel & #development:
5/ #Transport: You may be able to book a #flying #taxi within 3 years
https://bbc.co.uk/news/business-58895259… #eVTOL #jetsons #mainstream #drone #drones #sustainable #mobility #transport #aviation #sustainability #emission…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
